name,altName,country,lat,lon,action,islandCrag,islandCragId
"Joe's Valley, UT",Joe&#39;s Valley,USA,39.310925,-111.169281,map,Joe's Valley,516cf537bdc0f71fdd007480
Santavuori,Seinäjoki,Finland,62.653057,22.481031,map,Santavuori,516e621c62bfea195a022050
Almscliff,Yorkshire,United Kingdom,53.936501,-1.59375,map,Almscliff,516e4e6362bfea195a01a8b3
Riistavuori,Helsinki,Finland,60.219002,24.888599,map,Riistavuori,516e621c62bfea195a022055
Arhi,Kalymnos,Greece,37.0201,26.9643,map,Kalymnos,516d4ae8bdc0f71fdd03b81a
Ringkallen,Härnösand,Sweden,62.873466,18.302536,map,Ringkallen,516e27bf62bfea195a00ff36
Hallinden,Bohuslän,Sweden,58.454985,11.532254,map,Bohuslän,516e27c062bfea195a00ffdd
Simonsberget,Nyköping,Sweden,58.645466,16.91371,map,Simonsberget,516e27bf62bfea195a00ff64
Stennäset,Falun,Sweden,60.649313,15.570885,map,Stennäset,516e27c062bfea195a00ffbe
Taljala,Hämeenlinna,Finland,61.072633,24.030694,map,Hämeenlinna,516e621c62bfea195a022053
Källbergahygget,Uppsala,Sweden,59.869072,18.000036,add,,
Happy Boulders,Bishop,USA,37.416612,-118.450191,map,Bishop,516cf537bdc0f71fdd00747e
Desplomilandia,El Chorro,Spain,36.951675,-4.778495,map,Desplomilandia,516d1ec8bdc0f71fdd02393b
Kanavuori,Jyväskylä,Finland,62.243599,25.8967,map,Jyväskylä,516e621c62bfea195a022047
Camp 4,Yosemite,USA,37.74321,-119.60332,map,Camp 40,516cf537bdc0f71fdd00755a
Terradets,Lleida,Spain,42.043429,0.891056,map,Terradets,516d1ec8bdc0f71fdd02392e
Paradiset,Lofoten,Norway,68.182198,14.3344,map,Paradiset,516e3f5a62bfea195a0177f5
Blåberget,Umeå,Sweden,63.926102,18.8535,map,Blåberget,516e27bf62bfea195a00ff50
Annot,Cannes,France,43.990101,6.65162,map,Annot,516d4ae8bdc0f71fdd03b723
Cala Magraner,Mallorca,Spain,39.487202,3.28594,map,Mallorca,516d1ec8bdc0f71fdd02392b
Hauktjern,Oslo,Norway,59.894534,10.884447,map,Hauktjern,516e3f5a62bfea195a017783
Gorges du Tarn,Montpellier,France,44.308157,3.249378,map,Gorges Du Court,516e14ce62bfea195a006c7c
Crazy Horse Buttress,San Kamphaeng,Thailand,18.795137,99.239006,map,Crazy Horse Buttress,516d85a3bdc0f71fdd0518f7
Sörfjärden,Sundsvall,Sweden,62.026934,17.402902,add,,
Ihastjärvi,Mikkeli,Finland,61.7225,27.282,add,,
Ågesta,Stockholm,Sweden,59.214894,18.071866,map,Ågesta,516e27c062bfea195a00ffde
Rian,Luleå,Sweden,65.890296,22.976532,map,Rian Cornei,516d677abdc0f71fdd047bf7
Luppioberget,Tornio,Finland,66.310699,23.6126,map,Luppioberget,516e27c062bfea195a010043
